参数,总收益率
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",208.232726
"{'boll_window': 9, 'boll_dev': 2, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",208.129532
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 10, 'interval': 2}",207.48836
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 10, 'interval': 2}",207.018252
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",206.940962
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 2, 'interval': 2}",206.8188
"{'boll_window': 9, 'boll_dev': 2, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",206.462994
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",206.123712
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",205.568306
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 12, 'interval': 2}",204.12776
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",204.093068
"{'boll_window': 27, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 10, 'interval': 2}",203.880572
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",203.612962
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 10, 'interval': 2}",203.482912
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 2, 'interval': 2}",203.221472
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",202.886012
"{'boll_window': 33, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",202.705766
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 12, 'interval': 2}",202.681932
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",202.608674
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",201.952694
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",201.848994
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 4, 'interval': 2}",201.452544
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",201.447634
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",201.446734
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 4, 'interval': 2}",201.332728
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",200.849152
"{'boll_window': 27, 'boll_dev': 2, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 10, 'interval': 2}",199.60892
"{'boll_window': 45, 'boll_dev': 4, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",199.417106
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 4, 'interval': 2}",199.294018
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 2, 'interval': 2}",199.011718
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",198.53097
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 2, 'interval': 2}",198.303602
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",198.016598
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 12, 'interval': 2}",197.792852
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",197.450656
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",197.339038
"{'boll_window': 33, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.499999999999997, 'dis_open': 18, 'interval': 2}",197.301508
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 2, 'interval': 2}",197.267328
"{'boll_window': 27, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",196.68485
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 12, 'interval': 2}",196.509228
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",196.16512
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",196.07263
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 30, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",195.211486
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",194.753672
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",194.394582
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",194.026546
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",193.30222
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",192.857498
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 10, 'interval': 2}",192.648338
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",192.105546
"{'boll_window': 27, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",191.628802
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",191.568126
