2021-08-04 08:45:05,580  INFO: 主引擎创建成功
2021-08-04 08:45:05,582  INFO: 注册日志事件监听
2021-08-04 08:45:05,582  INFO: 连接CTP接口
2021-08-04 08:45:05,681  INFO: 行情服务器连接成功
2021-08-04 08:45:05,715  INFO: 行情服务器登录成功
2021-08-04 08:45:05,789  INFO: 交易服务器连接成功
2021-08-04 08:45:06,046  INFO: 交易服务器授权验证成功
2021-08-04 08:45:06,106  INFO: 交易服务器登录成功
2021-08-04 08:45:06,208  INFO: 结算信息确认成功
2021-08-04 08:45:10,947  INFO: 合约信息查询成功
2021-08-04 08:45:16,353  INFO: RQData数据接口初始化成功
2021-08-04 08:45:16,923  INFO: CTA策略引擎初始化成功
2021-08-04 08:45:16,939  INFO: CTA引擎初始化完成
2021-08-04 08:45:16,950  INFO: papertest1开始执行初始化
2021-08-04 08:45:17,884  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:57:00
2021-08-04 08:45:17,886  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.109734296009947, trading_size:4
2021-08-04 08:45:17,888  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-04 08:45:17,889  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:13:59:00
2021-08-04 08:45:17,891  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.100604096278827, trading_size:4
2021-08-04 08:45:17,893  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:01:00
2021-08-04 08:45:17,894  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.675607473433686, trading_size:4
2021-08-04 08:45:17,895  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,897  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:03:00
2021-08-04 08:45:17,899  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.868909333663, trading_size:4
2021-08-04 08:45:17,899  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,901  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:05:00
2021-08-04 08:45:17,902  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.796446504012989, trading_size:4
2021-08-04 08:45:17,904  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-04 08:45:17,905  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:07:00
2021-08-04 08:45:17,907  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.73009386818238, trading_size:4
