2021-08-03 00:36:45,651  INFO: 主引擎创建成功
2021-08-03 00:36:45,652  INFO: 注册日志事件监听
2021-08-03 00:36:45,652  INFO: 连接CTP接口
2021-08-03 00:36:45,746  INFO: 行情服务器连接成功
2021-08-03 00:36:45,778  INFO: 行情服务器登录成功
2021-08-03 00:36:45,830  INFO: 交易服务器连接成功
2021-08-03 00:36:46,039  INFO: 交易服务器授权验证成功
2021-08-03 00:36:46,096  INFO: 交易服务器登录成功
2021-08-03 00:36:46,198  INFO: 结算信息确认成功
2021-08-03 00:36:51,732  INFO: 合约信息查询成功
2021-08-03 00:36:56,452  INFO: RQData数据接口初始化成功
2021-08-03 00:36:57,051  INFO: CTA策略引擎初始化成功
2021-08-03 00:36:57,061  INFO: CTA引擎初始化完成
2021-08-03 00:36:57,074  INFO: papertest1开始执行初始化
2021-08-03 00:36:57,960  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,962  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:29:00
2021-08-03 00:36:57,963  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.59152825523546, trading_size:4
2021-08-03 00:36:57,964  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:4
2021-08-03 00:36:57,966  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:31:00
2021-08-03 00:36:57,967  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.626097589945237, trading_size:3
2021-08-03 00:36:57,970  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:33:00
2021-08-03 00:36:57,986  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:12.322586990465693, trading_size:4
2021-08-03 00:36:57,987  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:57,988  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:35:00
2021-08-03 00:36:57,989  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.962525400992966, trading_size:4
2021-08-03 00:36:57,989  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:57,990  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:37:00
2021-08-03 00:36:57,991  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.298824043276708, trading_size:4
2021-08-03 00:36:57,992  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:57,993  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:39:00
2021-08-03 00:36:57,993  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.606796975039485, trading_size:4
2021-08-03 00:36:57,994  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:57,995  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:41:00
2021-08-03 00:36:57,996  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.63947436293382, trading_size:4
2021-08-03 00:36:57,997  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
2021-08-03 00:36:57,997  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:14:43:00
2021-08-03 00:36:57,998  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:11.419439378872575, trading_size:4
2021-08-03 00:36:57,999  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:4
